State,Country,Place,type,budget,season,activities,latitude,longitude,display_name,importance
Delhi,India,Qutub Minar,monument,medium,Mar-May,"skiing, trekking, surfing",28.524413,77.1854501,"Qutb Minar, Kalka Das Marg, Mehrauli, Mehrauli Tehsil, South Delhi, Delhi, 110030, India",0.470647689
Goa,India,Baga Beach,beach,high,Jan-Mar,"culture, wildlife",15.5573721,73.75098,"Baga Beach, Baga, Calangute, Bardez, North Goa, Goa, India",0.1067212
Uttar Pradesh,India,Varanasi Ghats,station,high,June-Aug,"skiing, surfing, wildlife, nightlife",25.3343367,83.0142751,"Varanasi City, GT Road, Banaras Ghats, Pilokothi, Varanasi, Sadar, Varanasi, Uttar Pradesh, 221001, India",0.376298628
Karnataka,India,Hampi,village,high,Mar-May,"food, safari, shopping",15.3358,76.4610201,"Hampi, Hosapete taluk, Vijayanagara, Karnataka, 583239, India",0.146724757
Himachal Pradesh,India,Solang Valley,village,medium,Jan-Mar,"surfing, shopping, temple visit, yoga",32.3160963,77.1565572,"Solang Valley, Manali, Kullu, Himachal Pradesh, 175103, India",0.146715841
Ladakh,India,Pangong Lake,attraction,low,Sep-Nov,"culture, food",33.8210504,78.6087514,"Pangong Lake, Chushul road, Spangmik, Man, Leh district, India",3.75e-05
Rajasthan,India,Amber Fort,archaeological_site,medium,Dec-Feb,"nightlife, yoga, technology",26.9863104,75.8506607,"Amber Fort, to Jaigarh Fort, kundalaoo Colony, Amber, Jaipur Municipal Corporation, Amber Tehsil, Jaipur(Rural), Rajasthan, 303101, India",0.41850182
Himachal Pradesh,India,Rohtang Pass,saddle,luxury,Sep-Nov,"nightlife, food, culture",32.3710034,77.2462692,"Rohtang Pass, Lahul, Lahaul and Spiti, Himachal Pradesh, India",0.36763302
Tamil Nadu,India,Meenakshi Temple,bus_stop,high,Sep-Nov,"trekking, surfing",12.8750237,77.5947416,"Meenakshi Temple, Bannerghatta Road, Bangalore South, Bengaluru Urban, Karnataka, 560076, India",7.09e-05
Ladakh,India,Magnetic Hill,attraction,low,Jan-Mar,"technology, nightlife, culture, skiing",34.1709853,77.3524824,"Magnetic Hill, NH1, Chumkar, Leh district, India",3.75e-05
Uttarakhand,India,Rishikesh,administrative,luxury,June-Aug,"skiing, surfing",30.1086537,78.2916193,"Rishikesh, Dehradun, Uttarakhand, India",0.608084328
Maharashtra,India,Ajanta Caves,archaeological_site,high,June-Aug,"wildlife, skiing, nightlife",20.5524497,75.6995312,"Ajanta Caves, NH753F, Phardapur, Soegaon, Chhatrapati Sambhajinagar, Maharashtra, 431118, India",0.515524559
Paris,France,Eiffel Tower,monument,high,June-Aug,"culture, food, shopping",48.8584,2.2945,,
Rome,Italy,Colosseum,archaeological_site,medium,Mar-May,"culture, history, photography",41.8902,12.4922,,
New York,United States,Statue of Liberty,monument,high,Sep-Nov,"culture, photography, sightseeing",40.6892,-74.0445,,
Cairo,Egypt,Great Pyramid of Giza,archaeological_site,medium,Dec-Feb,"culture, history, photography",29.9792,31.1342,,
Beijing,China,Great Wall of China,monument,medium,Mar-May,"hiking, culture, photography",40.4319,116.5704,,
Sydney,Australia,Sydney Opera House,cultural,high,Dec-Feb,"culture, photography, food",-33.8568,151.2153,,
Rio de Janeiro,Brazil,Christ the Redeemer,monument,medium,Dec-Feb,"culture, photography, sightseeing",-22.9519,-43.2105,,
Cusco,Peru,Machu Picchu,archaeological_site,high,June-Aug,"hiking, culture, photography",-13.1631,-72.545,,
Dubai,UAE,Burj Khalifa,architecture,luxury,Dec-Feb,"shopping, photography, food",25.1972,55.2744,,
Istanbul,Turkey,Hagia Sophia,religious,medium,Mar-May,"culture, history, photography",41.0086,28.9802,,
Jammu and Kashmir,India,Gulmarg,hill_station,high,Dec-Feb,"skiing, snow sports, gondola ride",34.0494,74.3815,,
Jammu and Kashmir,India,Dal Lake,lake,medium,Apr-Oct,"shikara ride, houseboat stay, photography",34.1156,74.8723,,
Himachal Pradesh,India,Manali,hill_station,medium,Mar-June,"adventure sports, trekking, snow activities",32.2432,77.1892,,
Himachal Pradesh,India,Dharamshala,hill_station,medium,Mar-Jun,"meditation, cricket stadium, monasteries",32.219,76.3234,,
Punjab,India,Golden Temple,religious,low,Oct-Mar,"spirituality, culture, photography",31.62,74.8765,,
Uttarakhand,India,Auli,hill_station,high,Nov-Mar,"skiing, cable car, mountain views",30.5417,79.5663,,
Tamil Nadu,India,Rameshwaram,religious,low,Oct-Mar,"temple visit, beach, pilgrimage",9.2876,79.3129,,
Karnataka,India,Gokarna,beach,low,Oct-Mar,"beach trek, temples, water sports",14.5479,74.3188,,
Kerala,India,Munnar,hill_station,medium,Sep-Mar,"tea gardens, nature, trekking",10.0889,77.0595,,
Kerala,India,Wayanad,hill_station,medium,Oct-May,"wildlife, caves, waterfalls",11.6854,76.132,,
West Bengal,India,Darjeeling,hill_station,medium,Mar-May,"tea tourism, toy train, mountain views",27.041,88.2663,,
West Bengal,India,Kalimpong,hill_station,medium,Mar-Jun,"monasteries, viewpoints, flower nurseries",27.072,88.471,,
Odisha,India,Puri Beach,beach,low,Oct-Feb,"beach activities, temple visit, seafood",19.8135,85.8312,,
Odisha,India,Chilika Lake,lake,medium,Oct-Mar,"bird watching, boating, fishing",19.845,85.4788,,
Goa,India,Calangute Beach,beach,medium,Nov-Feb,"water sports, nightlife, beach activities",15.5449,73.7526,,
Maharashtra,India,Lonavala,hill_station,medium,Oct-Mar,"hiking, camping, waterfalls",18.7546,73.4062,,
Meghalaya,India,Living Root Bridges,natural,medium,Oct-May,"trekking, nature, photography",25.2484,91.7326,,
Meghalaya,India,Mawsynram,village,low,Oct-May,"caves, waterfalls, wettest place",25.2977,91.5828,,
Arunachal Pradesh,India,Tawang Monastery,religious,high,Mar-Oct,"spirituality, culture, mountain views",27.5859,91.8757,,
Sikkim,India,Tsomgo Lake,lake,medium,May-Sep,"yak rides, snow views, photography",27.3722,88.7516,,
Nagaland,India,Kohima,cultural,medium,Oct-May,"tribal culture, war cemetery, hornbill festival",25.6751,94.1086,,
Assam,India,Majuli Island,cultural,low,Nov-Mar,"river island, monasteries, bird watching",27.0014,94.2222,,
Madhya Pradesh,India,Bandhavgarh National Park,wildlife,high,Oct-Jun,"tiger safari, wildlife photography, nature",23.7221,81.0291,,
Madhya Pradesh,India,Orchha,historical,low,Oct-Mar,"palaces, temples, river rafting",25.3499,78.6409,,
Chhattisgarh,India,Chitrakote Falls,waterfall,low,Jul-Mar,"nature, photography, boating",19.2043,81.6736,,
Chhattisgarh,India,Sirpur,archaeological_site,low,Oct-Mar,"temples, buddhist sites, archaeology",21.347,82.1834,,
Rajasthan,India,Jaisalmer Fort,fort,medium,Oct-Mar,"desert safari, culture, photography",26.9157,70.9083,,
Rajasthan,India,Pushkar,religious,low,Oct-Mar,"camel fair, temples, desert culture",26.4899,74.5346,,
Gujarat,India,Gir National Park,wildlife,high,Dec-Mar,"lion safari, wildlife photography, nature",21.1243,70.8241,,
Gujarat,India,Statue of Unity,monument,medium,Oct-Mar,"world tallest statue, museum, valley of flowers",21.838,73.7191,,
Andhra Pradesh,India,Araku Valley,hill_station,low,Oct-Mar,"tribal culture, coffee plantations, caves",18.3273,82.8751,,
Telangana,India,Ramoji Film City,entertainment,high,Oct-Mar,"studio tour, shows, theme parks",17.2543,78.6808,,
Delhi,India,Humayun's Tomb,tomb,medium,All,"sightseeing, photography",28.5932856,77.2506468,,
Delhi,India,Akshardham Temple,temple,medium,All,sightseeing,28.6125166,77.2773184,,
Delhi,India,Jantar Mantar,observatory,medium,All,"sightseeing, photography",28.6271791,77.2166166,,
Delhi,India,Chandni Chowk,market,low,All,"sightseeing, photography",28.6559834,77.2321937,,
Delhi,India,Lotus Temple,temple,low,All,"sightseeing, photography",28.5533585,77.2586006,,
Delhi,India,Red Fort,fort,medium,All,"sightseeing, photography",28.6560809,77.2407959,,
Delhi,India,Agrasen ki Baoli,stepwell,low,All,"sightseeing, photography",28.6260676,77.2250111,,
Delhi,India,Sunder Nursery,park,low,All,"sightseeing, photography",28.5969098,77.2470188,,
Delhi,India,Garden of Five Senses,park,medium,All,"sightseeing, photography",28.5137724,77.1983445,,
Delhi,India,Lodhi Garden,park,low,All,"sightseeing, photography",28.5962685,77.2215533,,
Delhi,India,National Gallery of Modern Art,museum,medium,All,"sightseeing, photography",28.6096334,77.2341764,,
Delhi,India,National Zoological Park ,zoo,medium,All,"sightseeing, photography",28.6026948,77.247176,,
Delhi,India,National Science Centre,science,medium,All,"sightseeing, photography",28.625457,77.1622651,,
Maharastra,India,Marine Drive,promenade,low,All,"sightseeing, photography",18.9477837,72.8205988,,
Maharastra,India,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,museum,high,All,"sightseeing, photography",18.9268772,72.8325921,,
Maharastra,India,Sanjay Gandhi National Park,national park,medium,All,"nature, photography",19.2093238,72.9163268,,
Maharastra,India,Siddhivinayak Temple,temple,low,All,sightseeing,18.444367,74.726371,,
Maharastra,India,Mahalaxmi Temple,temple,low,All,sightseeing,16.6948575,74.2228947,,
Maharastra,India,Haji Ali Dargah,religious shrine,low,All,sightseeing,18.9828229,72.8089926,,
Maharastra,India,Chowpatty Beach,beach,low,All,"beach activities, photography",18.9543739,72.8128712,,
Maharastra,India,Essel World,amusement park,high,All,"sightseeing, photography",19.2253824,72.8080979,,
Karnataka,India,Bangalore Palace,palace,high,All,"sightseeing, photography",12.9985954,77.5920086,,
Karnataka,India,Lalbagh Botanical Garden,botanical garden,medium,All,"sightseeing, photography",12.9488492,77.5868882,,
Karnataka,India,Cubbon Park,park,low,All,"sightseeing, photography",12.9808954,77.597562,,
Karnataka,India,Vidhana Soudha,government building,low,All,sightseeing,12.9797454,77.5906167,,
Karnataka,India,ISKCON Temple Bangalore,temple,low,All,"sightseeing, photography",13.0116837,77.5516458,,
Telangana,India,Charminar,landmark,medium,All,"sightseeing, photography",17.3616024,78.4746421,,
Telangana,India,Golconda Fort,fort,medium,All,"sightseeing, photography",17.3833665,78.4010991,,
Telangana,India,Hussain Sagar Lake,lake,low,All,"sightseeing, photography",17.4229112,78.475421,,
Telangana,India,Salar Jung Museum,museum,medium,All,"sightseeing, photography",17.371392,78.4801498,,
Telangana,India,Qutb Shahi Tombs,tombs,medium,All,"sightseeing, photography",17.3973713,78.4001622,,
Telangana,India,Birla Mandir,temple,low,All,sightseeing,17.4056977,78.4692594,,
Telangana,India,Chowmahalla Palace,palace,medium,All,"sightseeing, photography",17.3575817,78.4717055,,
Telangana,India,Nehru Zoological Park,zoo,medium,All,"sightseeing, photography",17.3514419,78.4455598,,
Telangana,India,Lumbini Park,park,medium,All,"sightseeing, photography",17.409892,78.47292,,
West Bengal,India,Howrah Bridge,bridge,low,All,sightseeing,22.5850914,88.346825,,
West Bengal,India,Indian Museum,museum,medium,All,"sightseeing, photography",22.5575863,88.3510335,,
West Bengal,India,Dakshineswar Kali Temple,temple,low,All,"sightseeing, photography",22.654827,88.3575776,,
West Bengal,India,Kalighat Kali Temple,temple,low,All,"sightseeing, photography",22.520211,88.3420596,,
West Bengal,India,Eden Gardens,cricket ground,high,All,"sightseeing, photography",22.5646093,88.3423371,,
West Bengal,India,Science City Kolkata,science,medium,All,"sightseeing, photography",22.5400604,88.3958472,,
West Bengal,India,Belur Math,site,low,All,"sightseeing, photography",22.6313023,88.3505828,,
West Bengal,India,Marble Palace,palace,low,All,"sightseeing, photography",22.5821271,88.3602101,,
Goa,India,Basilica of Bom Jesus,church,low,All,"sightseeing, photography",15.5006961,73.9117039,,
Goa,India,Fort Aguada,fort,low,All,"sightseeing, photography",15.4923866,73.7735976,,
Goa,India,Anjuna Beach,beach,low,All,"beach activities, photography",15.5758504,73.7402545,,
Goa,India,Chapora Fort,fort,low,All,"sightseeing, photography",15.6059531,73.7352845,,
Goa,India,Se Cathedral,church,low,All,"sightseeing, photography",15.5037349,73.9121938,,
Goa,India,Arambol Beach,beach,low,All,"beach activities, photography",15.6786308,73.7051496,,
Goa,India,Palolem Beach,beach,low,All,"beach activities, photography",15.0093077,74.024229,,
Goa,India,Colva Beach,beach,low,All,"beach activities, photography",15.2857909,73.9105447,,
Goa,India,Miramar Beach,beach,low,All,"beach activities, photography",15.4766811,73.8066757,,
Goa,India,Aguada Beach,beach,low,All,"beach activities, photography",15.4988795,73.7672505,,
Gujarat,India,Sabarmati Ashram,historical,low,All,"history, photography",23.0601651,72.5806382,,
Gujarat,India,Dwarkadhish Temple,temple,low,All,sightseeing,22.2377737,68.9675115,,
Gujarat,India,White Desert,site,low,All,"sightseeing, photography",23.8304196,69.5200898,,
Gujarat,India,Laxmi Vilas Palace,palace,high,All,"sightseeing, photography",22.2918544,73.1883335,,
Gujarat,India,Somnath Temple,temple,low,All,sightseeing,20.8877577,70.4013836,,
Gujarat,India,Rann Utsav,cultural,high,All,"sightseeing, photography",23.7998618,69.5040793,,
Gujarat,India,Dandi Kutir,museum,low,All,"sightseeing, photography",23.2328055,72.631196,,
Gujarat,India,Sabarmati Riverfront,urban development project,low,All,"sightseeing, photography",23.0192844,72.5736364,,
Gujarat,India,Manek Chowk,market,low,All,"sightseeing, photography",23.0231798,72.5889516,,
Gujarat,India,Kankaria Lake,lake,medium,All,"sightseeing, photography",23.0061433,72.5995212,,
Gujarat,India,Science City,science,high,All,"sightseeing, photography",23.077854,72.494798,,
Rajasthan,India,City Palace,palace,high,All,"sightseeing, photography",26.9262096,75.8238346,,
Rajasthan,India,Pushkar Lake,temple,low,All,"sightseeing, photography",26.4875533,74.5540466,,
Rajasthan,India,Ajmer Sharif Dargah,shrine,low,All,sightseeing,26.4563076,74.6279567,,
Rajasthan,India,Mehrangarh Fort,fort,medium,All,"sightseeing, photography",26.2995407,73.0195132,,
Rajasthan,India,Chittorgarh Fort,fort,medium,All,"sightseeing, photography",24.8817143,74.6466948,,
Rajasthan,India,Junagarh Fort,fort,medium,All,"sightseeing, photography",28.0223479,73.318133,,
Rajasthan,India,Jaigarh Fort,fort,medium,All,"sightseeing, photography",26.9830235,75.8471945,,
Rajasthan,India,Lake Pichola,lake,low,All,"sightseeing, photography",24.5696217,73.6721833,,
Punjab,India,Golden Temple (Harmandir Sahib),religious site,low,All,"sightseeing, photography",31.6199787,74.8765281,,
Punjab,India,Jallianwala Bagh,memorial,low,All,"sightseeing, photography",31.6208537,74.8801304,,
Punjab,India,Wagah Border,border crossing,low,All,"sightseeing, photography",31.6236655,74.8793363,,
Kerala,India,Alappuzha Beach,beach,low,All,"beach activities, photography",9.4824643,76.3199375,,
Kerala,India,Fort Kochi,site,low,All,"sightseeing, photography",9.967569,76.2421901,,
Kerala,India,Padmanabhaswamy Temple,temple,low,All,sightseeing,8.4827062,76.9438614,,
Kerala,India,Kozhikode Beach,beach,low,All,"beach activities, photography",11.255511,75.7697038,,
Kerala,India,Wayanad Wildlife Sanctuary,wildlife sanctuary,high,All,"sightseeing, photography",11.7645326,76.2436909,,
Kerala,India,Periyar National Park,national park,medium,All,"nature, photography",9.4365357,77.3049208,,
Kerala,India,Kumarakom Bird Sanctuary,bird sanctuary,medium,All,"nature, photography",9.6273601,76.42859,,
Kerala,India,Varkala Beach,beach,low,All,"beach activities, photography",8.7332285,76.7054245,,
Kerala,India,Bekal Fort,fort,medium,All,"sightseeing, photography",12.3922237,75.0327651,,
Kerala,India,Kovalam Beach,beach,low,All,"beach activities, photography",8.3950997,76.9729934,,
Kerala,India,St. Angelo Fort,fort,medium,All,"sightseeing, photography",11.8541212,75.3719755,,
Kerala,India,Kerala Folklore Museum,cultural,medium,All,"sightseeing, photography",9.93302,76.2991691,,
Kerala,India,Wonderla Amusement Park,amusement park,high,All,"sightseeing, photography",10.0267542,76.3917772,,
Karnataka,India,Abbey Falls,waterfall,low,All,"sightseeing, photography",12.5221756,75.7390927,,
Karnataka,India,Om Beach,beach,low,All,"beach activities, photography",14.5190647,74.3254238,,
Karnataka,India,Mullayanagiri,mountain peak,low,All,"sightseeing, photography",13.3909217,75.7214034,,
Karnataka,India,Badami Cave Temples,cave,medium,All,sightseeing,15.9183722,75.6843849,,
Karnataka,India,Jog Falls,waterfall,medium,All,"sightseeing, photography",14.2292983,74.8123093,,
Karnataka,India,Panambur Beach,beach,low,All,"beach activities, photography",12.9384955,74.8039784,,
Karnataka,India,Gol Gumbaz,mausoleum,medium,All,"sightseeing, photography",16.8296264,75.7360096,,
Karnataka,India,Bandipur National Park,national park,high,All,"nature, photography",11.7866822,76.4206959,,
Maharastra,India,Shaniwar Wada,fort,medium,All,"sightseeing, photography",18.5193825,73.8553566,,
Maharastra,India,Sula Vineyards,vineyard,high,All,"sightseeing, photography",20.0046995,73.6869947,,
Maharastra,India,Sai Baba Temple,temple,low,All,sightseeing,19.2289791,72.8418686,,
Maharastra,India,Deekshabhoomi,monument,low,All,"sightseeing, photography",21.1282013,79.06693,,
Maharastra,India,Mahalakshmi Temple,temple,low,All,sightseeing,16.6948575,74.2228947,,
Maharastra,India,Karla Caves,cave,medium,All,"sightseeing, photography",18.7837433,73.4703235,,
Maharashtra,India,Tarkarli Beach,beach,low,All,"beach activities, photography",16.014689,73.4895302,,
Maharashtra,India,Echo Point,viewpoint,low,All,"sightseeing, photography",18.9862195,73.2611377,,
Maharashtra,India,Ellora Caves,cave,medium,All,"sightseeing, photography",20.0267525,75.1775152,,
Madhya Pradesh,India,Rajwada Palace,palace,medium,All,"sightseeing, photography",22.7184344,75.8547755,,
Madhya Pradesh,India,Gwalior Fort,fort,medium,All,"sightseeing, photography",26.2235995,78.1665381,,
Madhya Pradesh,India,Dhuandhar Falls,waterfall,low,All,"sightseeing, photography",23.125398,79.8134415,,
Madhya Pradesh,India,Orchha Fort,fort,medium,All,"sightseeing, photography",25.3499086,78.6443859,,
Madhya Pradesh,India,Bhimbetka Rock Shelters,prehistoric site,medium,All,"sightseeing, photography",22.9373923,77.6112045,,
Himachal Pradesh,India,The Ridge,scenic point,low,All,"sightseeing, photography",31.1047906,77.1752833,,
Himachal Pradesh,India,Dalai Lama Temple,temple,low,All,sightseeing,32.2324387,76.3244447,,
Himachal Pradesh,India,Great Himalayan National Park,national park,medium,All,"nature, photography",31.7968335,77.7239269,,
Himachal Pradesh,India,Sangla Valley,valley,low,All,"sightseeing, photography",31.3533438,78.3540103,,
Himachal Pradesh,India,Kangra Fort,fort,high,All,"sightseeing, photography",32.0867046,76.2533449,,
Himachal Pradesh,India,Prashar Lake,lake,low,All,"sightseeing, photography",31.7544774,77.1016413,,
Himachal Pradesh,India,Paragliding Site,adventure sport,high,All,"sightseeing, photography",32.1887717,76.4024167,,
Himachal Pradesh,India,Manikaran Sahib,gurudwara,low,All,"sightseeing, photography",32.0269237,77.3449068,,
Himachal Pradesh,India,Serolsar Lake,lake,low,All,"sightseeing, photography",31.5374898,77.4166793,,
Himachal Pradesh,India,Kufri Fun World,ski resort,high,All,"sightseeing, photography",31.0941994,77.2780197,,
Uttarakhand,India,Naini Lake,lake,low,All,"sightseeing, photography",29.3855849,79.4604798,,
Uttarakhand,India,Laxman Jhula,suspension bridge,low,All,"sightseeing, photography",30.1259181,78.328529,,
Uttarakhand,India,Har Ki Pauri,ghat,low,All,"sightseeing, photography",29.9566381,78.1708619,,
Uttarakhand,India,Robber's Cave,cave,medium,All,"sightseeing, photography",30.3770123,78.0622066,,
Uttarakhand,India,Badrinath Temple,temple,low,All,sightseeing,30.7446884,79.4911584,,
Uttarakhand,India,Jim Corbett National Park,national park,medium,All,"nature, photography",29.5574752,78.842495,,
Uttarakhand,India,Gangotri Temple,temple,low,All,sightseeing,30.9944345,78.9411466,,
Uttarakhand,India,Valley of Flowers,national park,high,All,"nature, photography",30.7056798,79.5958552,,
Uttar Pradesh,India,Kashi Vishwanath Temple,temple,low,All,sightseeing,25.3108218,83.0106679,,
Uttar Pradesh,India,Bara Imambara,monument,medium,All,sightseeing,26.8686449,80.912496,,
Uttar Pradesh,India,Ram Janmabhoomi,religious site,low,All,sightseeing,26.7956398,82.1945757,,
Uttar Pradesh,India,Triveni Sangam,confluence,low,All,"sightseeing, photography",25.4222299,81.8923259,,
Uttar Pradesh,India,Jhansi Fort,fort,medium,All,"sightseeing, photography",25.4573176,78.5754799,,
Uttar Pradesh,India,Buland Darwaza,monument,medium,All,"sightseeing, photography",27.0943123,77.6627939,,
Uttar Pradesh,India,Okhla Bird Sanctuary,bird sanctuary,medium,All,"nature, photography",28.5569866,77.3090031,,
Uttar Pradesh,India,Aligarh Fort,fort,medium,All,"sightseeing, photography",27.9298953,78.0637324,,
Jammu and Kashmir,India,Vaishno Devi,temple,low,All,sightseeing,33.027399,74.945375,,
Jammu and Kashmir,India,Amarnath Cave,temple,low,All,"sightseeing, photography",34.215635,75.5038297,,
Ladakh,India,Thiksey Monastery,monastery,medium,All,sightseeing,34.0565625,77.6667387,,
Ladakh,India,Nubra Valley,valley,low,All,"sightseeing, photography",34.4548618,77.7228607,,
Jammu and Kashmir,India,Kishtwar National Park,national park,medium,All,"nature, photography",33.5673764,75.9801829,,
Uttar Pradesh,India,Prem Mandir,temple,low,All,"sightseeing, photography",27.5720889,77.672038,,
West Bengal,India,Tiger Hill,sunrise point,low,All,"sightseeing, photography",26.9949013,88.2853306,,
West Bengal,India,Jaldapara National Park,wildlife sanctuary,high,All,"sightseeing, photography",26.6847738,89.3047177,,
West Bengal,India,Digha Beach,beach,low,All,"beach activities, photography",21.6223631,87.5248765,,
West Bengal,India,Gorumara National Park,national park,medium,All,"nature, photography",26.7474882,88.8145859,,
Odisha,India,Jagannath Temple,temple,low,All,sightseeing,20.3124158,85.818161,,
Odisha,India,Lingaraj Temple,temple,low,All,sightseeing,20.238369,85.833719,,
Odisha,India,Barabati Fort,fort,low,All,"sightseeing, photography",20.4852762,85.8650129,,
Odisha,India,Hirakud Dam,dam,low,All,"sightseeing, photography",21.5492431,83.9011286,,
Odisha,India,Tara Tarini Temple,temple,low,All,sightseeing,19.4888247,84.8991907,,
Tamil Nadu,India,Marina Beach,beach,low,All,"beach activities, photography",13.0532752,80.2833106,,
Tamil Nadu,India,Meenakshi Amman Temple,temple,low,All,sightseeing,9.9195433,78.1188334,,
Tamil Nadu,India,Ramanathaswamy Temple,temple,low,All,sightseeing,9.2880968,79.3173756,,
Tamil Nadu,India,Vivekananda Rock Memorial,memorial,medium,All,sightseeing,8.0783202,77.5549562,,
Tamil Nadu,India,Ooty Lake,lake,medium,All,"sightseeing, photography",11.403417,76.6916789,,
Tamil Nadu,India,Kodaikanal Lake,lake,low,All,"sightseeing, photography",10.234003,77.4865229,,
Tamil Nadu,India,Brihadeeswarar Temple,temple,low,All,sightseeing,10.78258,79.1313819,,
Tamil Nadu,India,Shore Temple,temple,medium,All,sightseeing,12.6164841,80.1992345,,
Tamil Nadu,India,Yercaud Lake,lake,low,All,"sightseeing, photography",11.7832744,78.2104687,,
Tamil Nadu,India,Nellaiappar Temple,temple,low,All,sightseeing,8.7284759,77.688951,,
Tamil Nadu,India,Nataraja Temple,temple,low,All,sightseeing,12.81972,79.70944,,
Andhra Pradesh,India,Kanaka Durga Temple,temple,low,All,sightseeing,17.0406708,82.20997,,
Andhra Pradesh,India,Mallikarjuna Swamy Temple,temple,low,All,sightseeing,16.0741873,78.8681462,,
Andhra Pradesh,India,Lepakshi,site,low,All,"sightseeing, photography",13.8031581,77.6097474,,
Andhra Pradesh,India,Belum Caves,cave,medium,All,"sightseeing, photography",15.102175,78.1116692,,
Andhra Pradesh,India,Amaravathi Temple,temple,low,All,sightseeing,16.58043,80.3588995,,
Andhra Pradesh,India,Uppalapadu Bird Sanctuary,bird sanctuary,medium,All,"nature, photography",16.3069011,80.5136209,,
Andhra Pradesh,India,Gandikota Fort,fort,low,All,"sightseeing, photography",14.8133184,78.2874575,,
Andhra Pradesh,India,Prasanthi Nilayam,spiritual center,low,All,"sightseeing, photography",14.1658687,77.8077625,,
Andhra Pradesh,India,Simhachalam Temple,temple,low,All,sightseeing,17.7663167,83.2505245,,
Andhra Pradesh,India,Kailasagiri,hill,low,All,"sightseeing, photography",17.7499572,83.3396922,,
Andhra Pradesh,India,Submarine Museum,museum,medium,All,"sightseeing, photography",17.7170864,83.3298119,,
Andhra Pradesh,India,Borra Caves,cave,medium,All,"sightseeing, photography",18.2939056,83.0597306,,
Andhra Pradesh,India,Indira Gandhi Zoological Park,zoo,medium,All,"sightseeing, photography",17.7672009,83.3485108,,
Andhra Pradesh,India,Matsyadarshini Aquarium,aquarium,medium,All,"sightseeing, photography",17.7128522,83.3199058,,
Andhra Pradesh,India,Visakha Museum,museum,medium,All,"sightseeing, photography",17.7208266,83.3338207,,
Sikkim,India,Nathula Pass,hill,medium,All,"sightseeing, photography",27.3868289,88.8308961,,
Sikkim,India,Char Dham,religious complex,medium,All,sightseeing,27.1735348,88.321995,,
Sikkim,India,Rumtek Monastery,monastery,medium,All,sightseeing,27.2887581,88.56142,,
Sikkim,India,Buddha Park,park,medium,All,"sightseeing, photography",27.3116732,88.3635699,,
Sikkim,India,Baba Harbhajan Singh Temple,temple,low,All,sightseeing,27.3658755,88.8378893,,
Assam,India,Kamakhya Temple,temple,low,All,sightseeing,26.165107,91.7059298,,
